ajre2-L02
Graph Created on: 2024-07-22 12:55:40.250
Recording on: 2024-07-22 12:58:21.171
2 msec/sample
3 channels
EMG
mV
Integrated EMG (est.)
mV-sec
Clench Force
kg
CH1	CH40	CH41	
55222 samples	55222 samples	55222 samples	
0.0195313	0.0474365	0.0174386	
-0.0775146	0.0477417	0.0174386	
-0.00732422	0.0477112	0.0174386	
0.0982666	0.0477661	0.0174386	
-0.0378418	0.0477783	0.0174386	
-0.0317383	0.0478149	0.0174386	
0.03479	0.0481018	0.0174386	
-0.00183105	0.0481079	0.0174386	
0.078125	0.0478333	0.0174386	
-0.0543213	0.0477173	0.0174386	
0.00793457	0.0477112	0.0174386	
0.0958252	0.0476807	0.0174386	
0.043335	0.0477478	0.0174386	
-0.045166	0.0474792	0.0174386	
0.0354004	0.0475525	0.0174386	
0.0201416	0.0475159	0.0174386	
0.020752	0.0475342	0.0174386	
-0.00244141	0.047168	0.0174386	
-0.0769043	0.047168	0.0348772	
0.00854492	0.0468506	0.0348772	
0.0726318	0.0468323	0.0348772	
-0.10376	0.0469543	0.0348772	
-0.00305176	0.046875	0.0348772	
0.0299072	0.0466492	0.0348772	
0.0415039	0.0469238	0.0348772	
0.0439453	0.0465393	0.0348772	
-0.0708008	0.0468201	0.0348772	
0.0177002	0.0466797	0.0348772	
0.112915	0.0468811	0.0348772	
0.0170898	0.0467041	0.0348772	
-0.0305176	0.0467834	0.0348772	
0.0195313	0.0467102	0.0348772	
0.00732422	0.0465637	0.0348772	
0.0708008	0.0468079	0.0348772	
-0.0653076	0.0465149	0.0348772	
-0.022583	0.046405	0.0348772	
0.0604248	0.0462158	0.0348772	
0.0219727	0.0463135	0.0348772	
-0.065918	0.0465393	0.0523158	
0.0341797	0.0462952	0.0523158	
0.0134277	0.0459229	0.0523158	
0.0537109	0.0459717	0.0523158	
-0.00854492	0.045929	0.0523158	
-0.0518799	0.046344	0.0523158	
0.0299072	0.0459778	0.0523158	
0.0927734	0.0461548	0.0523158	
-0.0634766	0.0457031	0.0523158	
-0.00732422	0.045752	0.0523158	
0.0598145	0.0457214	0.0523158	
0.0189209	0.0458801	0.0523158	
0.0524902	0.0457275	0.0348772	
-0.0280762	0.0455994	0.0348772	
-0.00671387	0.0455933	0.0348772	
0.0952148	0.045459	0.0523158	
-0.010376	0.0453308	0.0523158	
-0.0402832	0.04552	0.0523158	
0.0360107	0.0455078	0.0523158	
-0.000610352	0.045459	0.0523158	
0.0982666	0.0454285	0.0523158	
-0.0665283	0.0452393	0.0523158	
-0.0213623	0.0447998	0.0523158	
0.0640869	0.0447205	0.0523158	
0.055542	0.0449524	0.0523158	
-0.0769043	0.0447266	0.0523158	
-0.0140381	0.0446106	0.0523158	
0.0140381	0.0447083	0.0523158	
0.0378418	0.0449341	0.0523158	
-0.0390625	0.0449036	0.0523158	
-0.0921631	0.0452515	0.0523158	
0.0427246	0.0451355	0.0523158	
0.0665283	0.0450867	0.0523158	
-0.111084	0.0453918	0.0523158	
0.0134277	0.0454407	0.0523158	
