casm2-L02
Graph Created on: 2024-07-22 12:46:48.718
Recording on: 2024-07-22 12:48:14.176
2 msec/sample
3 channels
EMG
mV
Integrated EMG (est.)
mV-sec
Clench Force
kg
CH1	CH40	CH41	
61007 samples	61007 samples	61007 samples	
0.0482178	0.0192749	3.88578E-16	
0.0195313	0.0194702	3.88578E-16	
-0.000610352	0.0194763	3.88578E-16	
0.00488281	0.01922	3.88578E-16	
0.00976563	0.0192139	3.88578E-16	
0.022583	0.0192566	3.88578E-16	
-0.00671387	0.0190491	3.88578E-16	
-0.010376	0.0190491	3.88578E-16	
0.000610352	0.0187439	3.88578E-16	
0.0305176	0.0188782	3.88578E-16	
-0.0244141	0.0188965	3.88578E-16	
0.0390625	0.0190613	3.88578E-16	
0.0115967	0.0187561	3.88578E-16	
0.00183105	0.0184875	3.88578E-16	
0.0213623	0.0185669	3.88578E-16	
-0.00549316	0.0185181	3.88578E-16	
0.00854492	0.0184143	3.88578E-16	
0.0463867	0.0183228	3.88578E-16	
0	0.018042	3.88578E-16	
-0.00915527	0.0181335	3.88578E-16	
0.0189209	0.017981	3.88578E-16	
-0.00793457	0.0179504	3.88578E-16	
0.03479	0.0182617	3.88578E-16	
-0.0195313	0.0182495	3.88578E-16	
0.00671387	0.0180969	3.88578E-16	
0.0219727	0.0177856	3.88578E-16	
0.00244141	0.0177612	3.88578E-16	
-0.0140381	0.0178894	3.88578E-16	
0.0164795	0.0180481	3.88578E-16	
0.00793457	0.0179749	3.88578E-16	
0.00976563	0.0177856	3.88578E-16	
0.00366211	0.0175964	3.88578E-16	
-0.00183105	0.0175415	0	
0.0274658	0.0175903	0	
0.0274658	0.017627	0	
-0.020752	0.0174866	0	
0.0170898	0.0175171	0	
0.022583	0.0174438	0	
0.0140381	0.0175781	0	
0.020752	0.0176025	0	
-0.0115967	0.0176514	3.88578E-16	
0.00488281	0.0176697	3.88578E-16	
0.0561523	0.0178345	3.88578E-16	
0.0201416	0.0178467	3.88578E-16	
-0.00915527	0.0178894	3.88578E-16	
0.0250244	0.0179504	3.88578E-16	
-0.00671387	0.0179993	3.88578E-16	
0.0317383	0.0179016	0.0174386	
-0.0109863	0.0177795	0.0174386	
0	0.0175293	0.0174386	
0.0280762	0.0173767	0.0174386	
0.00671387	0.017218	3.88578E-16	
-0.0335693	0.017395	3.88578E-16	
0.0189209	0.0173645	3.88578E-16	
0.0189209	0.0174805	3.88578E-16	
0.00793457	0.0174561	3.88578E-16	
0.00854492	0.0175171	3.88578E-16	
0.0012207	0.0173462	3.88578E-16	
0.0146484	0.017334	3.88578E-16	
0.0335693	0.0173584	3.88578E-16	
-0.0292969	0.0175171	3.88578E-16	
0.0134277	0.0175842	3.88578E-16	
0.0128174	0.0175598	3.88578E-16	
0.0109863	0.0174316	3.88578E-16	
-0.00183105	0.0171509	3.88578E-16	
-0.0256348	0.0171875	3.88578E-16	
0.0146484	0.0172668	3.88578E-16	
0.022583	0.0170837	3.88578E-16	
-0.00976563	0.0169861	3.88578E-16	
-0.00915527	0.0170593	3.88578E-16	
0.0109863	0.0168945	3.88578E-16	
0.0183105	0.0169617	3.88578E-16	
0.020752	0.0167847	3.88578E-16	
-0.0305176	0.0170715	3.88578E-16	
0.0109863	0.01698	3.88578E-16	
0.0335693	0.0167786	3.88578E-16	
0.0280762	0.0166809	0.0174386	
-0.0280762	0.0168823	0.0174386	
0.0140381	0.0168701	0.0174386	
0.0262451	0.0168518	0.0174386	
0.0146484	0.016687	0.0174386	
-0.00793457	0.0167236	3.88578E-16	
-0.00366211	0.0167236	3.88578E-16	
0.0372314	0.0170776	3.88578E-16	
0.0378418	0.0171631	3.88578E-16	
-0.0390625	0.0173462	3.88578E-16	
0.00732422	0.0172241	3.88578E-16	
0.032959	0.0173523	3.88578E-16	
0.0164795	0.0174561	3.88578E-16	
0.020752	0.0176025	3.88578E-16	
-0.0170898	0.0176697	3.88578E-16	
0.010376	0.017749	3.88578E-16	
0.0494385	0.0177612	3.88578E-16	
-0.0146484	0.0177673	3.88578E-16	
0.0219727	0.0178772	3.88578E-16	
0.0366211	0.0179626	3.88578E-16	
0.0341797	0.0182373	3.88578E-16	
0.045166	0.0183289	3.88578E-16	
-0.010376	0.0182861	3.88578E-16	
0.00549316	0.0182129	3.88578E-16	
0.0195313	0.017926	3.88578E-16	
0.00305176	0.0177612	3.88578E-16	
-0.0115967	0.0178711	3.88578E-16	
-0.00671387	0.0178894	3.88578E-16	
-0.0189209	0.017981	3.88578E-16	
-0.0109863	0.017865	3.88578E-16	
-0.00549316	0.0178528	0.0174386	
-0.00671387	0.0178162	0.0174386	
0.00610352	0.0178711	0.0174386	
0.0323486	0.0178894	0.0174386	
-0.0311279	0.0179565	0.0174386	
0.0128174	0.0176941	0.0174386	
0.0335693	0.0179138	0.0174386	
-0.00366211	0.0179321	3.88578E-16	
0.020752	0.017926	3.88578E-16	
-0.0115967	0.0179871	3.88578E-16	
0.00671387	0.0179688	3.88578E-16	
0.0494385	0.0179993	3.88578E-16	
0.00305176	0.0180298	3.88578E-16	
0.00244141	0.0179626	3.88578E-16	
